Hour,Timestamp,Busyness Predicted,Taxi Zone ID
0,1691276400.0,0.13797435,4
1,1691280000.0,0.116850086,4
2,1691283600.0,0.089614995,4
3,1691287200.0,0.042632487,4
4,1691290800.0,0.02078616,4
5,1691294400.0,-0.0024780596,4
6,1691298000.0,-0.057775486,4
7,1691301600.0,-0.09458499,4
8,1691305200.0,-0.05543116,4
9,1691308800.0,-0.034220636,4
10,1691312400.0,-0.0014094937,4
11,1691316000.0,0.0043336838,4
12,1691319600.0,0.01691742,4
13,1691323200.0,0.017500082,4
14,1691326800.0,0.028216675,4
15,1691330400.0,0.031040126,4
16,1691334000.0,0.039486006,4
17,1691337600.0,0.050320614,4
18,1691341200.0,0.04614387,4
19,1691344800.0,0.062935665,4
20,1691348400.0,0.049426194,4
21,1691352000.0,0.050320998,4
22,1691355600.0,0.023466472,4
23,1691359200.0,0.0031921312,4
0,1691276400.0,0.0652035,12
1,1691280000.0,0.048419364,12
2,1691283600.0,0.052187853,12
3,1691287200.0,0.019569753,12
4,1691290800.0,-0.0022765864,12
5,1691294400.0,-0.019552175,12
6,1691298000.0,-0.061264712,12
7,1691301600.0,-0.07667641,12
8,1691305200.0,-0.0386551,12
9,1691308800.0,-0.03894186,12
10,1691312400.0,0.0096624065,12
11,1691316000.0,0.01497037,12
12,1691319600.0,0.027698323,12
13,1691323200.0,0.028280985,12
14,1691326800.0,0.033628944,12
15,1691330400.0,0.03421728,12
16,1691334000.0,0.038928106,12
17,1691337600.0,0.05133756,12
18,1691341200.0,0.050144132,12
19,1691344800.0,0.066935934,12
20,1691348400.0,0.026712291,12
21,1691352000.0,0.02760709,12
22,1691355600.0,-0.009311882,12
23,1691359200.0,-0.015677866,12
0,1691276400.0,0.019458689,13
1,1691280000.0,0.015650691,13
2,1691283600.0,0.0050009144,13
3,1691287200.0,-0.018788066,13
4,1691290800.0,-0.02011687,13
5,1691294400.0,-0.029545678,13
6,1691298000.0,-0.074724406,13
7,1691301600.0,-0.072795644,13
8,1691305200.0,-0.05892045,13
9,1691308800.0,-0.04157171,13
10,1691312400.0,-0.015427424,13
11,1691316000.0,-0.00056342233,13
12,1691319600.0,-0.0032910942,13
13,1691323200.0,-0.0032910942,13
14,1691326800.0,0.00019344501,13
15,1691330400.0,0.0030169026,13
16,1691334000.0,0.00664417,13
17,1691337600.0,0.012736926,13
18,1691341200.0,0.0048681214,13
19,1691344800.0,0.018237425,13
20,1691348400.0,-0.009073636,13
21,1691352000.0,-0.008178836,13
22,1691355600.0,-0.03971742,13
23,1691359200.0,-0.056927722,13
0,1691276400.0,0.09636515,24
1,1691280000.0,0.070524804,24
2,1691283600.0,0.04870562,24
3,1691287200.0,0.015515063,24
4,1691290800.0,-0.0063312827,24
5,1691294400.0,-0.024872487,24
6,1691298000.0,-0.06532835,24
7,1691301600.0,-0.06685057,24
8,1691305200.0,-0.0041186856,24
9,1691308800.0,0.024742978,24
10,1691312400.0,0.09258138,24
11,1691316000.0,0.11885791,24
12,1691319600.0,0.1260809,24
13,1691323200.0,0.1263834,24
14,1691326800.0,0.13261347,24
15,1691330400.0,0.120554894,24
16,1691334000.0,0.12550004,24
17,1691337600.0,0.13790952,24
18,1691341200.0,0.13004068,24
19,1691344800.0,0.13858192,24
20,1691348400.0,0.08089545,24
21,1691352000.0,0.08179025,24
22,1691355600.0,0.045869637,24
23,1691359200.0,0.0064543914,24
0,1691276400.0,0.13265488,41
1,1691280000.0,0.10681453,41
2,1691283600.0,0.08400283,41
3,1691287200.0,0.037020337,41
4,1691290800.0,0.015173994,41
5,1691294400.0,-0.002101578,41
6,1691298000.0,-0.043823045,41
7,1691301600.0,-0.046393562,41
8,1691305200.0,-0.00019968269,41
9,1691308800.0,0.023384966,41
10,1691312400.0,0.064778954,41
11,1691316000.0,0.08590286,41
12,1691319600.0,0.102441564,41
13,1691323200.0,0.10302422,41
14,1691326800.0,0.10897986,41
15,1691330400.0,0.11180331,41
16,1691334000.0,0.1189912,41
17,1691337600.0,0.13868506,41
18,1691341200.0,0.13081622,41
19,1691344800.0,0.14760806,41
20,1691348400.0,0.10667632,41
21,1691352000.0,0.10757112,41
22,1691355600.0,0.06255068,41
23,1691359200.0,0.04719996,41
0,1691276400.0,0.08070145,42
1,1691280000.0,0.0707176,42
2,1691283600.0,0.056739442,42
3,1691287200.0,0.021956554,42
4,1691290800.0,0.00011022284,42
5,1691294400.0,-0.010634143,42
6,1691298000.0,-0.046182808,42
